customer_id,month,logins,features_used,active_minutes,orphan_flag
CUST00001,2024-10-01,0,14,62,False
CUST00001,2024-11-01,5,1,145,False
CUST00001,2024-12-01,0,11,581,False
CUST00001,2025-01-01,1,2,610,False
CUST00001,2025-02-01,0,12,668,False
CUST00001,2025-03-01,0,1,938,False
CUST00001,2025-04-01,0,11,1078,False
CUST00002,2024-11-01,5,7,304,False
CUST00002,2024-12-01,6,11,583,False
CUST00002,2025-01-01,5,5,44,False
CUST00002,2025-02-01,6,10,586,False
CUST00002,2025-03-01,3,7,342,False
CUST00002,2025-04-01,9,15,296,False
CUST00003,2023-04-01,13,14,981,False
CUST00003,2023-05-01,16,3,1167,False
CUST00003,2023-06-01,9,12,146,False
CUST00003,2023-07-01,12,7,1083,False
CUST00003,2023-08-01,10,11,1102,False
CUST00003,2023-09-01,11,4,425,False
CUST00003,2023-10-01,17,8,485,False
CUST00003,2023-11-01,12,15,653,False
CUST00003,2023-12-01,12,6,360,False
CUST00003,2024-01-01,13,7,232,False
CUST00003,2024-02-01,16,8,1125,False
CUST00003,2024-03-01,14,4,346,False
CUST00003,2024-04-01,11,11,218,False
CUST00003,2024-05-01,13,7,240,False
CUST00003,2024-06-01,12,4,874,False
CUST00003,2024-07-01,12,11,660,False
CUST00003,2024-08-01,14,3,967,False
CUST00003,2024-09-01,9,6,780,False
CUST00003,2024-10-01,12,2,399,False
CUST00003,2024-11-01,12,11,1126,False
CUST00003,2024-12-01,12,5,638,False
CUST00003,2025-01-01,11,3,1195,False
CUST00003,2025-02-01,12,6,107,False
CUST00003,2025-03-01,13,9,98,False
CUST00003,2025-04-01,13,14,203,False
CUST00004,2024-10-01,0,15,958,False
CUST00004,2024-11-01,2,12,1033,False
CUST00004,2024-12-01,2,3,163,False
CUST00004,2025-01-01,1,1,340,False
CUST00004,2025-02-01,0,15,1108,False
CUST00004,2025-03-01,0,14,383,False
CUST00005,2023-01-01,3,9,706,False
CUST00005,2023-02-01,1,12,1016,False
CUST00005,2023-03-01,2,8,488,False
CUST00005,2023-04-01,0,13,882,False
CUST00005,2023-05-01,2,14,1114,False
CUST00005,2023-06-01,0,4,245,False
CUST00005,2023-07-01,2,11,662,False
CUST00005,2023-08-01,0,7,69,False
CUST00005,2023-09-01,0,8,56,False
CUST00005,2023-10-01,4,8,1125,False
CUST00005,2023-11-01,1,11,253,False
CUST00005,2023-12-01,0,8,989,False
CUST00005,2024-01-01,1,8,493,False
CUST00005,2024-02-01,0,15,839,False
CUST00005,2024-03-01,0,14,41,False
CUST00005,2024-04-01,1,6,14,False
CUST00005,2024-05-01,1,11,360,False
CUST00005,2024-06-01,2,3,468,False
CUST00005,2024-07-01,0,3,186,False
CUST00005,2024-08-01,0,7,759,False
CUST00005,2024-09-01,3,8,224,False
CUST00005,2024-10-01,2,11,552,False
CUST00005,2024-11-01,1,2,1080,False
CUST00005,2024-12-01,2,11,366,False
CUST00005,2025-01-01,4,6,1172,False
CUST00005,2025-02-01,3,7,945,False
CUST00005,2025-03-01,2,9,1104,False
CUST00005,2025-04-01,0,13,559,False
CUST00006,2023-08-01,8,3,269,False
CUST00006,2023-09-01,4,15,87,False
CUST00006,2023-10-01,10,10,480,False
CUST00006,2023-11-01,5,11,1120,False
CUST00006,2023-12-01,5,12,523,False
CUST00006,2024-01-01,9,9,607,False
CUST00006,2024-02-01,6,10,701,False
CUST00006,2024-03-01,6,14,1058,False
CUST00006,2024-04-01,7,2,590,False
CUST00006,2024-05-01,7,6,935,False
CUST00006,2024-06-01,6,13,83,False
CUST00006,2024-07-01,6,12,913,False
CUST00006,2024-08-01,11,4,1124,False
CUST00006,2024-09-01,10,7,926,False
CUST00006,2024-10-01,6,13,392,False
CUST00006,2024-11-01,8,1,935,False
CUST00006,2024-12-01,7,10,140,False
CUST00006,2025-01-01,11,12,954,False
CUST00006,2025-02-01,5,7,1119,False
CUST00006,2025-03-01,8,3,1186,False
CUST00006,2025-04-01,10,12,325,False
CUST00007,2023-12-01,1,15,71,False
CUST00007,2024-01-01,0,13,809,False
CUST00007,2024-02-01,0,7,689,False
CUST00007,2024-03-01,1,1,265,False
CUST00007,2024-04-01,0,3,582,False
CUST00007,2024-05-01,4,12,711,False
CUST00007,2024-06-01,2,14,777,False
CUST00007,2024-07-01,2,9,815,False
CUST00007,2024-08-01,4,8,817,False
CUST00007,2024-09-01,3,14,612,False
CUST00007,2024-10-01,4,3,515,False
CUST00007,2024-11-01,2,9,1189,False
CUST00007,2024-12-01,2,14,561,False
CUST00007,2025-01-01,3,4,408,False
CUST00007,2025-02-01,0,9,1182,False
CUST00007,2025-03-01,4,3,543,False
CUST00007,2025-04-01,2,2,681,False
CUST00008,2023-03-01,9,6,806,False
CUST00008,2023-04-01,7,3,1188,False
CUST00008,2023-05-01,10,4,465,False
CUST00008,2023-06-01,12,6,1094,False
CUST00008,2023-07-01,5,2,467,False
CUST00008,2023-08-01,6,14,1043,False
CUST00008,2023-09-01,10,6,759,False
CUST00008,2023-10-01,9,1,1012,False
CUST00008,2023-11-01,3,14,1154,False
CUST00008,2023-12-01,7,6,42,False
CUST00008,2024-01-01,5,13,598,False
CUST00008,2024-02-01,5,14,545,False
CUST00008,2024-03-01,8,11,255,False
CUST00008,2024-04-01,9,15,1059,False
CUST00008,2024-05-01,8,14,241,False
CUST00008,2024-06-01,7,15,995,False
CUST00008,2024-07-01,7,4,1078,False
CUST00008,2024-08-01,7,14,693,False
CUST00008,2024-09-01,6,1,186,False
CUST00008,2024-10-01,7,14,755,False
CUST00008,2024-11-01,8,6,611,False
CUST00008,2024-12-01,9,8,230,False
CUST00008,2025-01-01,7,2,453,False
CUST00008,2025-02-01,9,12,365,False
CUST00008,2025-03-01,5,14,869,False
CUST00008,2025-04-01,11,8,1084,False
CUST00009,2024-12-01,11,10,554,False
CUST00009,2025-01-01,12,14,316,False
CUST00009,2025-02-01,11,2,590,False
CUST00009,2025-03-01,9,13,188,False
CUST00009,2025-04-01,13,8,794,False
CUST00010,2023-08-01,3,9,1152,False
CUST00010,2023-09-01,4,3,290,False
CUST00010,2023-10-01,1,15,687,False
CUST00010,2023-11-01,0,13,886,False
CUST00010,2023-12-01,1,7,129,False
CUST00010,2024-01-01,6,10,1047,False
CUST00010,2024-02-01,1,7,931,False
CUST00010,2024-03-01,1,14,353,False
CUST00010,2024-04-01,2,3,1019,False
CUST00010,2024-05-01,2,12,582,False
CUST00010,2024-06-01,0,9,705,False
CUST00010,2024-07-01,2,6,659,False
CUST00010,2024-08-01,0,13,599,False
CUST00010,2024-09-01,3,10,253,False
CUST00010,2024-10-01,3,2,886,False
CUST00010,2024-11-01,3,15,22,False
CUST00010,2024-12-01,2,15,90,False
CUST00010,2025-01-01,6,6,480,False
CUST00010,2025-02-01,3,10,485,False
CUST00011,2023-06-01,4,2,677,False
CUST00011,2023-07-01,0,14,659,False
CUST00011,2023-08-01,2,6,994,False
CUST00011,2023-09-01,2,1,1078,False
CUST00011,2023-10-01,2,9,383,False
CUST00011,2023-11-01,4,11,215,False
CUST00011,2023-12-01,1,9,1084,False
CUST00011,2024-01-01,3,10,794,False
